"","x"
"1",0.820124814653028
"2",1.17252454695488
"3",0.405404796296078
"4",1.33709315773593
"5",0.650846450351654
"6",5.03528036122127
"7",0.00258064659349163
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",0.947381318944186
"16",0.0462128431551314
"17",0.422706914542671
"18",-0.332439973093275
"19",-0.589534917095648
"20",0.733794487334101
"21",NA
"22",NA
"23",0.484157376683829
"24",-0.337791063057009
"25",2.53237318702692
"26",-2.62424224383012
"27",1.15186946534164
"28",-0.685084788056517
"29",0.795308320304676
"30",1.9348487507716
"31",NA
"32",NA
"33",0.491494166747684
"34",0.641262345190934
"35",NA
"36",NA
"37",NA
