year,age,med.abund.age.fran,low.abund.age.fran,up.abund.age.fran,med.bm.age.fran,low.bm.age.fran,up.bm.age.fran,med.mat.abund.age.fran,low.mat.abund.age.fran,up.mat.abund.age.fran,med.mat.bm.age.fran,low.mat.bm.age.fran,up.mat.bm.age.fran
1999,1,530.4464516,192.7914861,1395.525382,509.2285936,185.0798266,1339.704367,0,0,0,0,0,0
1999,2,6535.615959,4064.668346,13159.09098,61976.54819,36787.45527,129260.5126,3106.491107,1754.721064,6669.96462,30925.43165,16505.55765,68809.29613
1999,3,6955.395001,4675.667459,12995.01955,115732.1023,77175.43404,217954.9435,6579.690946,4410.254128,12324.81344,109524.4277,72812.49961,206814.6146
1999,4,675.5746814,461.6109638,1235.50815,11822.36131,7966.006247,21919.76573,670.4622244,457.7276725,1227.221293,11736.21641,7900.572789,21780.13218
1999,5,0,0,0,0,0,0,0,0,0,0,0,0
1999,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,600.6158474,524.4760365,716.0651743,376.419134,327.012931,453.8364524,0,0,0,0,0,0
2000,2,5640.205257,4536.985279,7095.736423,51979.34462,41585.20477,65928.6638,2544.832601,2049.891432,3236.25728,23650.30034,18912.92574,30486.07396
2000,3,1333.65156,1097.580817,1689.997626,25416.75622,20913.73781,32307.38106,1302.842721,1074.53707,1649.747901,24830.06361,20474.90308,31540.91981
2000,4,396.9860318,333.805508,484.4278993,8175.147883,6878.729076,9970.436963,393.1384644,330.5486236,479.8210536,8095.7805,6811.520771,9875.435467
2000,5,52.78702675,46.34135154,62.17129134,998.7071806,877.6324599,1173.629935,52.27420642,45.88702478,61.57967831,988.9738508,869.009338,1162.40112
2000,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,6790.288804,4549.317692,20562.80811,60694.94353,40996.95106,195315.1041,3275.516626,2238.237766,12144.51471,29958.92336,20632.84029,118329.8081
2001,3,2964.896547,1990.401743,9357.057781,55627.50199,37448.50635,168971.4642,2929.893067,1968.268327,9293.615929,54983.85375,37036.59402,167828.8792
2001,4,302.9699903,202.1358545,492.8944434,5722.504058,3834.615289,9344.634988,302.6559578,201.8835456,492.466926,5715.158838,3828.713784,9334.635357
2001,5,13.02046709,9.266781547,157.730599,266.6075785,190.2326559,3273.312548,13.02046709,9.266781547,157.730599,266.6075785,190.2326559,3273.312548
2001,Unknown,2.151778054,1.227355951,9.298266406,15.72237036,7.984419266,65.58551385,0.429878191,0.199996806,1.749397346,4.358964861,2.027967609,17.73888909
2002,1,109.206379,93.30115867,137.8215746,205.3079926,175.4061783,259.1045602,0,0,0,0,0,0
2002,2,3130.773248,2570.031823,4151.932134,29698.09342,24436.67571,39101.81831,1854.530261,1519.756343,2480.080772,18116.65039,14890.52971,24046.28126
2002,3,2217.966609,1882.048435,2901.109082,36662.31102,31142.42321,48058.83903,2188.89759,1856.995943,2863.499791,36187.22712,30731.9721,47444.77053
2002,4,287.2771902,242.9306744,379.5463775,5175.067267,4406.024775,6805.215216,286.8635751,242.6127354,378.800104,5168.151623,4400.708835,6792.737523
2002,5,17.60051216,14.64211085,23.65161317,369.6367933,304.8862639,501.9448602,17.60051216,14.64211085,23.65161317,369.6367933,304.8862639,501.9448602
2002,Unknown,27.21420314,11.7870434,55.98845614,93.34471677,40.42955886,192.0404046,0,0,0,0,0,0
2003,1,1775.643952,1239.189428,3573.243332,3731.224108,2598.215074,7522.374692,0,0,0,0,0,0
2003,2,5113.266605,3735.642109,9199.219788,56768.44856,41793.66706,100157.2428,3870.739676,2864.761076,6756.893161,44138.58689,32864.84617,75652.16312
2003,3,1535.579014,1113.028918,2486.701127,28661.85819,20736.98037,46322.8298,1535.579014,1113.028918,2486.701127,28661.85819,20736.98037,46322.8298
2003,4,432.8771182,321.1711439,739.2555584,7168.287111,5284.825839,12207.84951,432.8771182,321.1711439,739.2555584,7168.287111,5284.825839,12207.84951
2003,5,0,0,0,0,0,0,0,0,0,0,0,0
2003,Unknown,431.3308333,304.6041258,859.3757538,4865.4118,3435.934539,9693.758503,172.5323333,121.8416503,343.7503015,1946.16472,1374.373816,3877.503401
2004,1,14.16575457,10.43792442,22.3669809,16.71559039,12.31675082,26.39303746,0,0,0,0,0,0
2004,2,8437.513639,6793.282547,15195.71804,67017.65581,53967.77134,117875.0324,3665.671934,2946.382261,6651.982201,31395.50759,25323.30723,54642.47133
2004,3,2292.622137,1882.97675,3823.879143,39319.14138,32345.57745,64749.79153,2285.119435,1877.408836,3804.208012,39195.43317,32253.63962,64427.60556
2004,4,439.0465609,360.1297094,729.7029724,7416.316712,6064.723988,12583.41609,439.0465609,360.1297094,729.7029724,7416.316712,6064.723988,12583.41609
2004,5,0,0,0,0,0,0,0,0,0,0,0,0
2004,Unknown,0.786986365,0.57988469,1.24261005,8.916555515,6.570093538,14.07877187,0.472191819,0.347930814,0.74556603,5.349933309,3.942056123,8.44726312
2005,1,631.3715613,275.9367624,5158.250414,856.8914918,424.3006255,5830.005814,0.854885006,0.617203973,1.258504641,9.600358619,6.931200617,14.13300712
2005,2,2697.661391,1648.237796,11072.1907,36026.61055,22244.00621,145551.4075,2099.933962,1252.380099,9510.71098,27949.9542,16884.04649,124342.3052
2005,3,2286.99048,1535.847193,6285.483449,47412.69546,31748.84462,135867.1461,2266.971375,1521.599768,6235.832197,47029.22037,31476.95208,134814.2849
2005,4,487.9713845,322.3908676,1582.524009,10342.32129,6816.642135,34638.05317,484.9992146,320.4100543,1577.718689,10278.98435,6774.431002,34535.6518
2005,5,49.53616514,33.01355615,80.08866591,1022.426448,681.3997989,1653.030064,49.53616514,33.01355615,80.08866591,1022.426448,681.3997989,1653.030064
2005,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,4979.194842,3851.780878,8279.467458,12278.16891,9456.93053,20546.41896,0,0,0,0,0,0
2007,2,19314.59369,15085.61204,30064.45196,168231.3827,131656.6701,261038.5246,8213.484465,6354.032585,13407.80323,70136.41101,54330.05745,114457.3181
2007,3,3522.305645,2740.609821,5642.714872,63028.74774,49071.40946,100265.3226,3482.201171,2708.20654,5587.268087,62332.13303,48508.56448,99302.21198
2007,4,318.5633632,252.8907812,454.5188106,6937.362537,5499.231694,9923.042439,311.8792843,247.4902344,445.2776798,6802.544666,5390.302665,9736.648831
2007,5,0,0,0,0,0,0,0,0,0,0,0,0
2007,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,4232.428126,3482.707034,5441.794197,14100.69895,11663.92589,18203.28651,0.836690767,0.577813673,1.920868036,1.497676473,1.034286475,3.438353784
2008,2,9594.894247,7693.363816,14746.55185,89978.00755,71820.41216,141416.2349,5269.893401,4174.746674,8575.903705,51406.75304,40465.71574,85427.88501
2008,3,6816.662232,5467.14258,11630.85611,130893.4076,104759.3511,228352.1901,6786.465939,5442.826949,11567.11216,130254.1643,104244.3419,226999.7286
2008,4,774.3785093,612.8461071,1254.114244,17501.68088,13914.81474,28865.60514,771.6731561,610.6477956,1250.585227,17446.16703,13869.70538,28793.18972
2008,5,6.816931758,5.329109351,9.879140786,173.218236,135.4126686,251.0289674,6.816931758,5.329109351,9.879140786,173.218236,135.4126686,251.0289674
2008,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,3652.916682,3225.95156,4518.897639,11471.2763,10087.67676,14461.50293,89.05060066,77.46893389,123.30848,346.9627457,301.7864165,487.0159352
2009,2,18122.81833,15879.45883,24326.39005,139992.8072,122362.9697,189889.9083,10567.20298,9221.890928,14746.92847,84778.99535,73779.77802,119515.3212
2009,3,6074.885691,5326.343597,7806.783773,90831.45303,79675.49411,116127.7629,6028.721129,5285.87948,7749.298614,90143.35476,79071.51672,115278.9678
2009,4,493.7329164,432.3685479,645.4685047,9126.419607,7992.775616,11829.64212,493.7329164,432.3685479,645.4685047,9126.419607,7992.775616,11829.64212
2009,5,0,0,0,0,0,0,0,0,0,0,0,0
2009,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,187.615626,98.78934936,407.6487878,621.1634741,333.2752311,1355.274622,1.57074372,0.79151718,3.338137672,4.963550157,2.501194289,10.54851504
2010,2,1166.023322,687.5875556,2778.858026,11805.53611,7093.302932,28178.45462,834.8911141,494.0572495,1992.853494,8577.98572,5176.368416,20632.62619
2010,3,604.7768648,348.1923247,1773.049028,9424.45886,5458.21553,27502.18265,596.5012988,344.6520204,1744.209199,9295.77577,5403.717501,27054.00035
2010,4,12.91934082,6.351423426,34.19870498,219.7627723,107.2884826,574.1314083,12.91934082,6.351423426,34.19870498,219.7627723,107.2884826,574.1314083
2010,5,0,0,0,0,0,0,0,0,0,0,0,0
2010,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1248.74629,810.9169348,1814.624495,1732.359001,1130.486781,2632.979242,0,0,0,0,0,0
2011,2,12643.98278,9499.734157,20057.30574,114873.0171,86510.55487,175856.143,6468.16764,4869.195069,9985.9278,59790.83669,45177.61926,89564.62052
2011,3,4691.740933,3613.177615,6869.843779,73809.35381,56665.90932,107746.8046,4577.693914,3524.308569,6702.902254,72016.40287,55272.21813,105129.4696
2011,4,585.9616539,464.9329467,871.4639577,10776.06108,8547.351441,15981.85415,585.9616539,464.9329467,871.4639577,10776.06108,8547.351441,15981.85415
2011,5,49.48599564,38.07510723,82.86478486,853.1385648,656.4148487,1428.588891,49.48599564,38.07510723,82.86478486,853.1385648,656.4148487,1428.588891
2011,Unknown,70.4145695,45.10674482,97.33778725,61.96482116,39.69393544,85.65725278,0,0,0,0,0,0
2012,1,505.8558047,418.924259,849.2487537,1247.717956,1001.630619,3041.42601,16.93389201,12.24555246,103.3112767,88.57570371,62.59704603,640.865604
2012,2,16254.96853,13010.50677,41099.924,136089.8524,109567.0176,315590.0031,6910.193519,5612.788333,14035.6016,63882.70608,52187.4912,117571.0445
2012,3,1950.074557,1577.924975,4234.460155,32478.70124,26497.4816,64094.22852,1868.737074,1520.274848,3625.697784,31351.43436,25691.51456,55974.43195
2012,4,163.9281824,137.8403146,199.1887093,3502.858864,2950.936219,4240.874124,163.9281824,137.8403146,199.1887093,3502.858864,2950.936219,4240.874124
2012,5,0,0,0,0,0,0,0,0,0,0,0,0
2012,Unknown,55.6844393,46.53670322,67.32094886,718.3292669,600.3234716,868.4402403,30.06959722,25.12981974,36.35331239,387.8978042,324.1746746,468.9577298
2013,1,6303.536342,3951.882883,10063.5711,15379.28952,8995.249159,25244.08324,0,0,0,0,0,0
2013,2,25001.03939,16518.37097,39027.5543,226649.1786,150893.9306,352327.572,8009.432303,5380.035651,12442.78948,74059.15196,50283.56103,114304.9967
2013,3,18531.12608,13414.64039,27593.57463,405419.7642,291801.4993,605946.0619,17567.67363,12695.12164,26190.8826,384368.882,276166.776,575164.2865
2013,4,832.9054814,611.7619726,1215.167556,20177.98653,14743.8719,29559.89461,826.2454262,606.63442,1205.33021,20027.56043,14628.24009,29338.08098
2013,5,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,18027.92885,15600.53437,21076.7604,63910.44487,55197.48584,74913.06124,50.46076406,41.24561525,64.03276851,221.7246348,182.4127017,281.8624489
2014,2,80202.37777,69361.28476,94463.51923,547966.9524,471121.5364,651072.2168,13666.17462,11450.82271,16738.48003,101630.3733,84722.0232,125366.9941
2014,3,7665.069286,6431.888289,9571.998135,146099.781,122743.8834,182218.9035,6949.9399,5839.944398,8649.817249,133428.9347,112223.1291,165961.7062
2014,4,923.9655081,757.7760467,1209.735203,21541.59718,17689.81253,28159.85998,923.9655081,757.7760467,1209.735203,21541.59718,17689.81253,28159.85998
2014,5,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,9448.084567,7311.382672,12970.58304,28001.30732,21553.8874,38601.24108,46.66432357,36.21210504,63.12860542,138.593041,107.549952,187.4919581
2015,2,22838.88739,17216.2956,31975.06847,121701.8826,89840.94461,173687.0277,3837.605294,2483.207026,6311.703787,22823.7548,14657.12708,37735.41446
2015,3,9386.355287,7852.9302,11717.39775,162921.244,137049.8664,201930.9614,8564.364716,7143.163915,10728.21785,148463.3374,124560.0091,184537.5616
2015,4,344.0888874,298.554151,414.0907882,8689.98836,7540.895061,10449.38089,325.1817446,282.0890986,391.9108761,8194.243076,7109.181388,9867.823597
2015,Unknown,2378.439282,1825.290132,3213.552015,39782.01072,30400.71587,53724.49135,2378.439282,1825.290132,3213.552015,39782.01072,30400.71587,53724.49135
2017,1,73.80211535,58.2688589,122.2267211,95.75986548,75.90822243,153.4118278,0,0,0,0,0,0
2017,2,16689.89147,14174.99747,22643.34027,109713.4125,94191.05984,142385.2098,5587.251025,4818.708874,7004.763622,39919.32985,34562.47128,49125.38649
2017,3,1501.409461,1287.961862,1947.95477,22496.01457,19307.78686,29291.4435,1482.029397,1271.101271,1925.104551,22231.41696,19076.63507,28981.01909
2017,4,41.42738266,34.03224163,57.57079437,770.4370155,632.7839222,1065.712863,41.42738266,34.03224163,57.57079437,770.4370155,632.7839222,1065.712863
2018,1,665.033801,555.326134,1152.479516,1548.637697,1330.061068,2494.476288,0,0,0,0,0,0
2018,2,24547.30959,20620.51612,41236.84228,177006.5283,148270.7211,297697.9548,7653.476559,6369.880613,13059.376,56804.10496,47199.96075,97069.38209
2018,3,6786.662247,5829.634749,10376.15798,109775.6816,94258.69525,169873.2435,6472.258562,5559.352248,9934.799002,104870.8656,90034.54904,163001.3267
2018,4,25.10052,13.97925,111.15057,523.8478524,291.7469475,2319.712396,25.10052,13.97925,111.15057,523.8478524,291.7469475,2319.712396
2018,Unknown,6.032556,5.349888,7.036926,24.7334796,21.9345408,28.8513966,0,0,0,0,0,0
2019,1,218.6772595,142.5352419,333.947647,190.2492157,124.0056605,290.5344529,0,0,0,0,0,0
2019,2,8901.586833,7304.454381,11458.53207,104524.0792,85593.41495,134911.8467,7141.004428,5838.585603,9241.723904,84633.10745,69092.24555,109729.1082
2019,3,8902.230795,7613.912954,11020.23084,168142.6424,144042.1315,207721.8854,8801.939413,7524.047001,10903.93993,166191.6984,142290.2641,205467.4404
2019,4,424.5757047,363.499242,526.421771,9506.498079,8143.398694,11781.79565,424.5757047,363.499242,526.421771,9506.498079,8143.398694,11781.79565
2021,1,15012.78946,9418.628381,80235.72375,32586.8114,20404.56079,175298.4892,0,0,0,0,0,0
2021,2,7498.950345,4941.966593,33528.58125,70010.9285,45836.37417,320447.5174,1998.972861,1292.615281,9502.081461,19609.52617,12699.22736,92240.98685
2021,3,200.0760619,124.2021219,1103.121917,4838.659757,3004.30322,26658.82297,199.2480241,123.5873822,1101.851649,4817.834607,2988.842517,26626.87572
2022,1,3288.364401,2176.976859,5650.240584,17917.77727,11945.27808,30507.68764,361.2013175,255.7085965,613.6069499,2295.380355,1642.029691,3883.757328
2022,2,20756.41835,13889.42175,35114.25376,196464.9087,131839.0713,335120.1443,11600.38761,7793.142567,20282.62949,115213.1365,77844.93538,201849.213
2022,3,2351.787895,1621.489573,4143.347735,41718.24217,28901.79495,73338.66221,2313.595018,1595.889132,4080.96191,41090.05336,28480.02883,72301.63543
2022,4,246.5000129,182.7785602,410.4770618,5900.619618,4370.72531,9820.112931,246.5000129,182.7785602,410.4770618,5900.619618,4370.72531,9820.112931
2022,5,0.428407028,0.364558067,0.523941422,9.339273211,7.94736585,11.42192301,0.428407028,0.364558067,0.523941422,9.339273211,7.94736585,11.42192301
2022,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
