year,abundance_med,ab_lci,ab_uci,biomass_med,bm_lci,bm_uci,SE_biomass
1985,456.3,,,3426,,,
1986,239.8,,,3697,,,
1987,149.6,,,2576,,,
1988,409,340,499,4285,3580,5180,456.6326531
1989,366,312,439,3712,3127,4505,404.5918367
1990,464,346,642,5783,4169,8354,1311.734694
1991,16,8,59,138,61,339,102.5510204
1992,19,16,25,138,115,175,18.87755102
1993,,,,,,,
1994,,,,,,,
1995,,,,,,,
1996,3,2,5,47,32,74,13.7755102
1997,,,,,,,
1998,,,,,,,
1999,17,11,33,216,141,414,101.0204082
2000,11,9,14,125,100,159,17.34693878
2001,11,7,32,129,86,375,125.5102041
2002,6,5,8,84,70,109,12.75510204
2003,9,7,17,108,78,191,42.34693878
2004,12,9,21,125,100,216,46.42857143
2005,6,4,24,98,63,334,120.4081633
2006,,,,,,,
2007,28,22,45,300,233,473,88.26530612
2008,22,18,44,263,207,496,118.877551
2009,29,26,39,262,227,352,45.91836735
2010,2,1,5,23,14,61,19.3877551
2011,19,15,30,210,162,319,55.6122449
2012,23,19,42,206,166,355,76.02040816
2013,54,35,90,763,520,1259,253.0612245
2014,122,104,150,983,839,1210,115.8163265
2015,63,47,88,661,508,906,125
2016,,,,,,,
2017,18,16,25,157,134,212,28.06122449
2018,32,27,53,293,248,477,93.87755102
2019,18,15,23,277,229,350,37.24489796
