year,biomass_med,bm_lci,bm_uci
1982,446,NA,NA
1983,NA,NA,NA
1984,NA,NA,NA
1985,3426,NA,NA
1986,3697,NA,NA
1987,2576,NA,NA
1988,4285,3580,5180
1989,3712,3127,4505
1990,5783,4169,8354
1991,138,61,339
1992,138,115,175
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,47,32,74
1997,NA,NA,NA
1998,NA,NA,NA
1999,190.04024038975143,122.11397538254455,370.47492622450886
2000,86.94637503350629,70.58231704046736,109.83394820757607
2001,122.32727953185376,82.47828977880239,376.97010138334247
2002,77.88890909385508,65.06264361236872,101.9841690637109
2003,106.55761514840802,78.35782298893905,185.9847975198996
2004,113.77874604212595,92.39695962245864,195.24871180056658
2005,95.66094524210826,61.91519338537429,323.53964273732714
2006,NA,NA,NA
2007,250.47566183915274,195.68424179569215,391.7733085927846
2008,253.22984151574437,202.6330166450357,420.6118078763829
2009,251.4219561809232,220.11891621043478,332.308816339688
2010,22.07092122053886,12.992082175624066,57.610043301077035
2011,202.08899491043096,153.53958558165127,303.70866611627287
2012,174.03745968454646,140.6173894828408,387.83497201124584
2013,667.6262188052197,466.43455093675385,1013.0776117132991
2014,779.5187754913325,666.752718111261,936.3640415312058
2015,366.6881793468409,291.14507624367786,485.2118716197642
2016,NA,NA,NA
2017,133.07562390151716,114.20753885128956,172.89577798806013
2018,288.87942891754,244.17315895514,472.4142383396
2019,282.3634688939915,237.9029507799322,354.7060621791161
2020,NA,NA,NA
2022,262.0108869880718,177.0648170174515,448.79802903962735
