SurveyYear,Bellevue_larvae_m-3,log_Bellevue_larvae_m-3
2001,752.86,2.8772907
2002,1030.82,3.013603942
2003,577.82,2.762543529
2004,605.77,2.7830241
2005,2736.14,3.437297011
2006,2245.64,3.351533487
2007,3699.52,3.568262756
2008,1898.81,3.278710169
2009,1881.47,3.274728064
2010,1275.89,3.106153486
2011,2620.22,3.418503473
2012,2867.48,3.457651826
2013,3770.14,3.576472655
2014,704.71,2.848626271
2015,989.4812006,2.995846237
2016,415.9986839,2.620134684
2017,1114.585867,3.047503004
2018,129.1643988,2.114492217
2019,398.851,2.600810685
2020,115,2.06069784
2021,398.5,2.600428326
