year,mat1,mat2,mat3,mat4,mat5,mat6,matureAbun
1985,0.00,10.55,34.97,3.41,2.29,0.00,51.22
1986,0.00,0.42,58.12,19.86,0.71,0.31,79.42
1987,0.00,5.21,13.37,38.09,3.89,0.08,60.64
1988,0.00,6.27,42.16,8.12,12.60,1.23,70.38
1989,0.00,18.90,61.33,1.57,0.00,0.01,81.81
1990,0.00,10.67,67.59,41.55,1.39,0.00,121.20
1991,0.00,0.20,1.53,0.25,0.03,0.00,2.02
1992,0.00,0.59,3.46,0.44,0.03,0.00,4.52
1993,,,,,,,
1994,,,,,,,
1995,,,,,,,
1996,0.00,0.46,0.92,0.04,0.00,0.00,1.42
1997,,,,,,,
1998,,,,,,,
1999,0.00,3.55,6.78,0.65,0.00,0.00,10.99
2000,0.00,3.38,1.58,0.47,0.04,0.00,5.48
2001,0.00,4.54,1.29,0.30,0.05,0.00,6.18
2002,0.00,2.25,2.51,0.35,0.03,0.00,5.14
2003,0.00,2.93,1.23,0.39,0.00,0.00,4.55
2004,0.00,3.79,2.59,0.47,0.00,0.00,6.85
2005,0.00,2.31,2.41,0.49,0.07,0.00,5.28
2006,,,,,,,
2007,0.00,6.19,5.14,0.76,0.02,0.00,12.12
2008,0.00,5.23,6.48,0.68,0.02,0.00,12.41
2009,0.07,10.59,5.45,0.39,0.00,0.00,16.43
2010,0.00,0.83,0.61,0.01,0.00,0.00,1.45
2011,0.00,5.82,5.08,0.80,0.00,0.00,11.70
2012,0.01,6.73,2.22,0.20,0.00,0.00,9.15
