year,abundance,ssb
1985,369.47,772.1211724
1986,59.37,1572.330908
1987,88.11,1825.656854
1988,380.21,2227.495294
1989,314.55,1404.904808
1990,352.58,3094.039068
1991,7.68,65.629596
1992,18.96,122.145816
1993,,
1994,,
1995,,
1996,2.96,37.39488
1997,,
1998,,
1999,8.208,162.1243265
2000,8.457,
2001,6.709,79.11903521
2002,3.281,70.16366451
2003,3.991,64.63464081
2004,8.587,84.24144899
2005,2.91,92.48841595
2006,,
2007,15.614,165.1692973
2008,9.976,181.7531577
2009,18.546,171.8116017
2010,1.19,17.7821289
2011,10.6,156.3363655
2012,18.4,90.44686673
